example_id                                                                 | status | run_time        |
./spec/domain/repositories/storage/bookmark_file_store_spec.rb[1:1]        | passed | 0.00327 seconds |
./spec/domain/repositories/storage/bookmark_file_store_spec.rb[1:2]        | passed | 0.00174 seconds |
./spec/domain/repositories/storage/progress_file_store_spec.rb[1:1]        | passed | 0.00151 seconds |
./spec/domain/selectors/config_selectors_spec.rb[1:1]                      | passed | 0.00019 seconds |
./spec/domain/selectors/config_selectors_spec.rb[1:2]                      | passed | 0.00022 seconds |
./spec/domain/selectors/menu_selectors_spec.rb[1:1]                        | passed | 0.00014 seconds |
./spec/domain/selectors/menu_selectors_spec.rb[1:2]                        | passed | 0.00023 seconds |
./spec/domain/selectors/reader_selectors_spec.rb[1:1]                      | passed | 0.00021 seconds |
./spec/domain/selectors/reader_selectors_spec.rb[1:2]                      | passed | 0.00036 seconds |
./spec/domain/services/annotation_service_spec.rb[1:1]                     | passed | 0.00097 seconds |
./spec/domain/services/annotation_service_spec.rb[1:2]                     | passed | 0.00193 seconds |
./spec/domain/services/bookmark_service_spec.rb[1:1]                       | passed | 0.00103 seconds |
./spec/domain/services/bookmark_service_spec.rb[1:2]                       | passed | 0.00122 seconds |
./spec/domain/services/catalog_service_spec.rb[1:1:1]                      | passed | 0.00086 seconds |
./spec/domain/services/catalog_service_spec.rb[1:2:1]                      | passed | 0.00091 seconds |
./spec/domain/services/catalog_service_spec.rb[1:3:1]                      | passed | 0.00109 seconds |
./spec/domain/services/catalog_service_spec.rb[1:4:1]                      | passed | 0.00068 seconds |
./spec/domain/services/catalog_service_spec.rb[1:5:1]                      | passed | 0.00095 seconds |
./spec/domain/services/catalog_service_spec.rb[1:6:1]                      | passed | 0.00078 seconds |
./spec/domain/services/coordinate_service_spec.rb[1:1]                     | passed | 0.00032 seconds |
./spec/domain/services/coordinate_service_spec.rb[1:2]                     | passed | 0.00042 seconds |
./spec/domain/services/formatting_service_kitty_images_spec.rb[1:1]        | passed | 0.00209 seconds |
./spec/domain/services/formatting_service_kitty_images_spec.rb[1:2]        | passed | 0.00169 seconds |
./spec/domain/services/formatting_service_kitty_images_spec.rb[1:3]        | passed | 0.00119 seconds |
./spec/domain/services/formatting_service_spec.rb[1:1:1]                   | passed | 0.00195 seconds |
./spec/domain/services/formatting_service_spec.rb[1:2:1]                   | passed | 0.00252 seconds |
./spec/domain/services/internal/dynamic_page_map_builder_spec.rb[1:1]      | passed | 0.00051 seconds |
./spec/domain/services/layout_service_spec.rb[1:1]                         | passed | 0.00038 seconds |
./spec/domain/services/layout_service_spec.rb[1:2]                         | passed | 0.00042 seconds |
./spec/domain/services/layout_service_spec.rb[1:3]                         | passed | 0.00041 seconds |
./spec/domain/services/layout_service_spec.rb[1:4]                         | passed | 0.00034 seconds |
./spec/domain/services/library_service_spec.rb[1:1]                        | passed | 0.00303 seconds |
./spec/domain/services/navigation_service_kitty_images_spec.rb[1:1]        | passed | 0.0037 seconds  |
./spec/domain/services/navigation_service_spec.rb[1:1:1:1]                 | passed | 0.00391 seconds |
./spec/domain/services/navigation_service_spec.rb[1:1:1:2]                 | passed | 0.00678 seconds |
./spec/domain/services/navigation_service_spec.rb[1:1:2:1]                 | passed | 0.00325 seconds |
./spec/domain/services/navigation_service_spec.rb[1:2:1:1]                 | passed | 0.0008 seconds  |
./spec/domain/services/navigation_service_spec.rb[1:2:2:1]                 | passed | 0.00152 seconds |
./spec/domain/services/navigation_service_spec.rb[1:3:1]                   | passed | 0.00119 seconds |
